"run.label","dataset.id","geometry.id","truth.id","geometry.family","n","ambient.dimension","support.grid","coordinate.method","requested.chart.dim","chart.dim","local.chart.method","local.chart.method.effective","backend.requested","backend.used","selected.support.size","selected.degree","selected.kernel","selected.cv.rmse.observed","observed.rmse","truth.rmse","runtime.seconds","k8.panel","grid.policy"
"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01","p7c_ctrl_1d_unit_interval_n200_seed101","p7d_1d_two_gaussian_v1","controlled_1d",200,1,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35","local.pca","auto",1,"pca","pca","auto","R",24,2,"tricube",0.102159972828266,0.0898087269409035,0.0399263002237993,0.807,"controlled_full_p7_grid","p7_baseline_full_grid"
"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01","p7c_ctrl_1d_unit_interval_n200_seed101","p7d_1d_two_gaussian_v1","controlled_1d",200,1,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35","local.pca","auto",1,"pca","pca","cpp.local.pca","cpp.local.pca",24,2,"tricube",0.102159972828266,0.0898087269409035,0.0399263002237993,0.06,"controlled_full_p7_grid","p7_baseline_full_grid"
"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01","p7c_ctrl_2d_unit_square_n400_seed201","p7d_square_aniso_three_gaussian_v1","controlled_2d",400,2,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35","local.pca","auto",2,"pca","pca","auto","R",24,2,"tricube",0.132905737901347,0.0822209825650903,0.0608744440669824,2.409,"controlled_full_p7_grid","p7_baseline_full_grid"
"cpp.local.pca","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01","p7c_ctrl_2d_unit_square_n400_seed201","p7d_square_aniso_three_gaussian_v1","controlled_2d",400,2,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35","local.pca","auto",2,"pca","pca","cpp.local.pca","cpp.local.pca",24,2,"tricube",0.132905737901347,0.0822209825650903,0.0608744440669824,0.920000000000001,"controlled_full_p7_grid","p7_baseline_full_grid"
"auto","p7d_paraboloid_latent_three_gaussian_v1__noise_sd010_r01","p7c_ctrl_2d_paraboloid_n400_seed202","p7d_paraboloid_latent_three_gaussian_v1","controlled_2d_curved",400,3,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35","local.pca","auto",2,"pca","pca","auto","R",21,2,"tricube",0.1260389438013,0.078347856566232,0.0572687804045943,2.426,"controlled_full_p7_grid","p7_baseline_full_grid"
"cpp.local.pca","p7d_paraboloid_latent_three_gaussian_v1__noise_sd010_r01","p7c_ctrl_2d_paraboloid_n400_seed202","p7d_paraboloid_latent_three_gaussian_v1","controlled_2d_curved",400,3,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35","local.pca","auto",2,"pca","pca","cpp.local.pca","cpp.local.pca",21,2,"tricube",0.1260389438013,0.078347856566232,0.0572687804045943,0.904,"controlled_full_p7_grid","p7_baseline_full_grid"
"auto","p7d_saddle_latent_three_gaussian_v1__noise_sd010_r01","p7c_ctrl_2d_saddle_n400_seed203","p7d_saddle_latent_three_gaussian_v1","controlled_2d_curved",400,3,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35","local.pca","auto",2,"pca","pca","auto","R",18,2,"tricube",0.172261660247661,0.0770844314189691,0.0650715206816641,2.375,"controlled_full_p7_grid","p7_baseline_full_grid"
"cpp.local.pca","p7d_saddle_latent_three_gaussian_v1__noise_sd010_r01","p7c_ctrl_2d_saddle_n400_seed203","p7d_saddle_latent_three_gaussian_v1","controlled_2d_curved",400,3,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35","local.pca","auto",2,"pca","pca","cpp.local.pca","cpp.local.pca",18,2,"tricube",0.172261660247661,0.0770844314189691,0.0650715206816641,0.906000000000001,"controlled_full_p7_grid","p7_baseline_full_grid"
"auto","p7d_3d_four_gaussian_v1__noise_sd010_r01","p7c_ctrl_3d_unit_cube_n600_seed301","p7d_3d_four_gaussian_v1","controlled_3d",600,3,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35","local.pca","auto",3,"pca","pca","auto","R",30,2,"tricube",0.262773115437994,0.104072830483894,0.101324175106779,3.225,"controlled_full_p7_grid","p7_baseline_full_grid"
"cpp.local.pca","p7d_3d_four_gaussian_v1__noise_sd010_r01","p7c_ctrl_3d_unit_cube_n600_seed301","p7d_3d_four_gaussian_v1","controlled_3d",600,3,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35","local.pca","auto",3,"pca","pca","cpp.local.pca","cpp.local.pca",30,2,"tricube",0.262773115437994,0.104072830483894,0.101324175106779,1.069,"controlled_full_p7_grid","p7_baseline_full_grid"
"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7c_hd_1d_noisy_embed100_n200_seed401","p7d_hd1_latent_two_gaussian_v1","controlled_highdim",200,100,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35","local.pca","auto",25,"pca","pca","auto","R",34,1,"gaussian",4.44981225863146,0.119208656725613,0.156645564978055,3.189,"controlled_full_p7_grid","p7_baseline_full_grid"
"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7c_hd_1d_noisy_embed100_n200_seed401","p7d_hd1_latent_two_gaussian_v1","controlled_highdim",200,100,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35","local.pca","auto",25,"pca","pca","cpp.local.pca","cpp.local.pca",34,1,"gaussian",4.44981225863146,0.119208656725613,0.156645564978055,3.36,"controlled_full_p7_grid","p7_baseline_full_grid"
"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","p7c_hd_2d_diagonal_embed100_n400_seed402","p7d_hd2_latent_three_gaussian_v1","controlled_highdim",400,100,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35","local.pca","auto",2,"pca","pca","auto","R",27,2,"tricube",0.136241259290821,0.0863707453720103,0.0558373310368975,5.114,"controlled_full_p7_grid","p7_baseline_full_grid"
"cpp.local.pca","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","p7c_hd_2d_diagonal_embed100_n400_seed402","p7d_hd2_latent_three_gaussian_v1","controlled_highdim",400,100,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35","local.pca","auto",2,"pca","pca","cpp.local.pca","cpp.local.pca",27,2,"tricube",0.136241259290821,0.0863707453720103,0.0558373310368975,3.57,"controlled_full_p7_grid","p7_baseline_full_grid"
"auto","p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7c_hd_3d_diagonal_embed99_n600_seed403","p7d_hd3_latent_four_gaussian_v1","controlled_highdim",600,99,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35","local.pca","auto",3,"pca","pca","auto","R",29,2,"tricube",0.250441851198048,0.100883925797023,0.096720810405173,7.222,"controlled_full_p7_grid","p7_baseline_full_grid"
"cpp.local.pca","p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7c_hd_3d_diagonal_embed99_n600_seed403","p7d_hd3_latent_four_gaussian_v1","controlled_highdim",600,99,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35","local.pca","auto",3,"pca","pca","cpp.local.pca","cpp.local.pca",29,2,"tricube",0.250441851198048,0.100883925797023,0.096720810405173,5.196,"controlled_full_p7_grid","p7_baseline_full_grid"
"auto","p7d_16s_graph_gaussian_farthest3_v1__noise_sd010_r01","p7c_16s_valencia2k_relabund_rknn_k4_mst_v1","p7d_16s_graph_gaussian_farthest3_v1","real16s",2000,178,"15,25,35","local.pca","auto",7,"pca","pca","auto","R",35,1,"gaussian",0.297825012554024,0.126673613736684,0.114029270862899,11.295,"real16s_quick_smoke_reduced_grid","reduced_grid_for_real16s_smoke"
"cpp.local.pca","p7d_16s_graph_gaussian_farthest3_v1__noise_sd010_r01","p7c_16s_valencia2k_relabund_rknn_k4_mst_v1","p7d_16s_graph_gaussian_farthest3_v1","real16s",2000,178,"15,25,35","local.pca","auto",7,"pca","pca","cpp.local.pca","cpp.local.pca",35,1,"gaussian",0.297825012554024,0.126673613736684,0.114029270862899,18.973,"real16s_quick_smoke_reduced_grid","reduced_grid_for_real16s_smoke"
