"task_id","batch_id","dataset_id","geometry_family","n","p","method","chart_dim_rule","backend_variant","design_basis","design_drop_tol","ridge_multiplier_grid","ridge_condition_max","support_grid","degree_grid","kernel_grid","lambda_sync_search","status","truth_rmse","observed_rmse","selected_cv_rmse_observed","selected_support_size","selected_degree","selected_kernel","selected_lambda_sync","finite_cv_candidates","total_cv_candidates","chart_dim_n","chart_dim_min","chart_dim_median","chart_dim_max","chart_dim_unique","frame_cols_min","frame_cols_median","frame_cols_max","frame_kept_min","frame_kept_median","frame_kept_max","ridge_multiplier_selected","ridge_condition","ridge_status","elapsed_sec"
"bp7x_0001__LA_D1_RAW_N500__auto__lps__monomial_tiny_ridge","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"lps","auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,Inf,NA,3.548
"bp7x_0002__LA_D1_RAW_N500__auto__lps__weighted_qr_drop_tiny","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"lps","auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,4.088
"bp7x_0003__LA_D1_RAW_N500__auto__lps__orthogonal_drop_adaptive_tiny","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"lps","auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"ok",0.0529669133892194,0.0826791963047596,0.16269327812882,35,2,"tricube",NA,21,21,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,4.343
"bp7x_0004__LA_D1_RAW_N500__auto__ps_lps__monomial_tiny_ridge","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"ps_lps","auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube","guarded","ok",0.0256519068808614,0.0996623979513102,0.1051320560296,31,2,"tricube",30,7,8,500,2,2,2,1,Inf,NA,-Inf,Inf,NA,-Inf,1e-08,NA,"unguarded",60.021
"bp7x_0005__LA_D1_RAW_N500__auto__ps_lps__weighted_qr_drop_tiny","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"ps_lps","auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.0249218065941208,0.100914537370069,0.105439800447614,28,2,"tricube",90,7,8,500,2,2,2,1,Inf,NA,-Inf,Inf,NA,-Inf,1e-10,41385406868.7309,"ok",823.394
"bp7x_0006__LA_D1_RAW_N500__auto__ps_lps__orthogonal_drop_adaptive_tiny","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"ps_lps","auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.0253020850591198,0.100580353859698,0.105752741713918,28,2,"tricube",90,8,8,500,2,2,2,1,Inf,NA,-Inf,Inf,NA,-Inf,0,1188151.51292083,"ok",142.088
"bp7x_0007__LA_D1_RAW_N500__local_auto__lps__monomial_tiny_ridge","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"lps","local.auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,500,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,Inf,NA,13.167
"bp7x_0008__LA_D1_RAW_N500__local_auto__lps__weighted_qr_drop_tiny","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"lps","local.auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,500,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,14.122
"bp7x_0009__LA_D1_RAW_N500__local_auto__lps__orthogonal_drop_adaptive_tiny","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"lps","local.auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"ok",0.0542541835229238,0.0811252972266797,0.414680708425063,34,2,"tricube",NA,21,21,500,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,12.639
"bp7x_0010__LA_D1_RAW_N500__local_auto__ps_lps__monomial_tiny_ridge","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"ps_lps","local.auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube","guarded","ok",0.0252858285073308,0.100143652734708,0.10431605155015,30,2,"tricube",90,7,8,500,1,2,3,3,Inf,NA,-Inf,Inf,NA,-Inf,1e-08,NA,"unguarded",77.38
"bp7x_0011__LA_D1_RAW_N500__local_auto__ps_lps__weighted_qr_drop_tiny","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"ps_lps","local.auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.0245762433502856,0.0997216038397047,0.104712808761243,30,2,"tricube",90,7,8,500,1,2,3,3,Inf,NA,-Inf,Inf,NA,-Inf,1e-10,25797093642.9218,"ok",964.838
"bp7x_0012__LA_D1_RAW_N500__local_auto__ps_lps__orthogonal_drop_adaptive_tiny","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"ps_lps","local.auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.0248292845287678,0.0993993442256022,0.104887482170753,30,2,"tricube",90,8,8,500,1,2,3,3,Inf,NA,-Inf,Inf,NA,-Inf,0,431157.991039354,"ok",349.52
"bp7x_0013__LA_D1_HC_Li_N500__auto__lps__monomial_tiny_ridge","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,"lps","auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,Inf,NA,6.564
"bp7x_0014__LA_D1_HC_Li_N500__auto__lps__weighted_qr_drop_tiny","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,"lps","auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,5.942
"bp7x_0015__LA_D1_HC_Li_N500__auto__lps__orthogonal_drop_adaptive_tiny","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,"lps","auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"ok",0.0597870640288711,0.0769979499630945,2.00489964410144,21,2,"tricube",NA,21,21,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,6.638
"bp7x_0016__LA_D1_HC_Li_N500__auto__ps_lps__monomial_tiny_ridge","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,"ps_lps","auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube","guarded","ok",0.0528751915080462,0.108802607612925,0.121675787171418,17,2,"tricube",10,6,7,500,1,1,1,1,Inf,NA,-Inf,Inf,NA,-Inf,1e-08,NA,"unguarded",37.06
"bp7x_0017__LA_D1_HC_Li_N500__auto__ps_lps__weighted_qr_drop_tiny","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,"ps_lps","auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.0630262958859007,0.11387636824677,0.141099783918284,29,2,"tricube",10,6,7,500,1,1,1,1,Inf,NA,-Inf,Inf,NA,-Inf,1e-10,20692294483.1967,"ok",254.875
"bp7x_0018__LA_D1_HC_Li_N500__auto__ps_lps__orthogonal_drop_adaptive_tiny","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,"ps_lps","auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.050177567045494,0.107130195402043,0.11864870742604,22,2,"tricube",10,7,7,500,1,1,1,1,Inf,NA,-Inf,Inf,NA,-Inf,0,17840834.4578801,"ok",105.915
"bp7x_0019__LA_D1_HC_Li_N500__local_auto__lps__monomial_tiny_ridge","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,"lps","local.auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,500,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,Inf,NA,12.778
"bp7x_0020__LA_D1_HC_Li_N500__local_auto__lps__weighted_qr_drop_tiny","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,"lps","local.auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,500,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,13.536
"bp7x_0021__LA_D1_HC_Li_N500__local_auto__lps__orthogonal_drop_adaptive_tiny","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,"lps","local.auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"ok",0.0477177604327785,0.0872633856597357,5.48448444825799,35,2,"tricube",NA,21,21,500,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,13.826
"bp7x_0022__LA_D1_HC_Li_N500__local_auto__ps_lps__monomial_tiny_ridge","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,"ps_lps","local.auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube","guarded","ok",0.0472522769143147,0.10505918604494,0.117226620942531,20,2,"tricube",10,6,7,500,1,2,3,3,Inf,NA,-Inf,Inf,NA,-Inf,1e-08,NA,"unguarded",59.22
"bp7x_0023__LA_D1_HC_Li_N500__local_auto__ps_lps__weighted_qr_drop_tiny","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,"ps_lps","local.auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.0469046075889957,0.106090639895565,0.119859564238635,15,2,"tricube",90,7,8,500,1,2,3,3,Inf,NA,-Inf,Inf,NA,-Inf,1e-10,29399082590.1762,"ok",522.426
"bp7x_0024__LA_D1_HC_Li_N500__local_auto__ps_lps__orthogonal_drop_adaptive_tiny","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,"ps_lps","local.auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.0332798242894604,0.0982939711181741,0.115989682359047,23,2,"tricube",10,7,7,500,1,2,3,3,Inf,NA,-Inf,Inf,NA,-Inf,0,22147807.0081041,"ok",147.469
"bp7x_0025__LA_D1_HC_Lc_N500__auto__lps__monomial_tiny_ridge","FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",500,3,"lps","auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,Inf,NA,5.054
"bp7x_0026__LA_D1_HC_Lc_N500__auto__lps__weighted_qr_drop_tiny","FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",500,3,"lps","auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,5.815
"bp7x_0027__LA_D1_HC_Lc_N500__auto__lps__orthogonal_drop_adaptive_tiny","FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",500,3,"lps","auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"ok",0.0619100338241241,0.0760020561719585,13.2767296110429,26,2,"tricube",NA,21,21,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,5.416
"bp7x_0028__LA_D1_HC_Lc_N500__auto__ps_lps__monomial_tiny_ridge","FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",500,3,"ps_lps","auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube","guarded","ok",0.0327733310834467,0.0940809566341323,0.105438933334812,29,2,"tricube",1,5,6,500,2,2,2,1,Inf,NA,-Inf,Inf,NA,-Inf,1e-08,NA,"unguarded",56.499
"bp7x_0029__LA_D1_HC_Lc_N500__auto__ps_lps__weighted_qr_drop_tiny","FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",500,3,"ps_lps","auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.0345719001761971,0.0929229530579409,0.10554716681442,29,2,"tricube",1,5,6,500,2,2,2,1,Inf,NA,-Inf,Inf,NA,-Inf,1e-10,26841530596.2465,"ok",678.414
"bp7x_0030__LA_D1_HC_Lc_N500__auto__ps_lps__orthogonal_drop_adaptive_tiny","FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",500,3,"ps_lps","auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.0372992499579962,0.0908008093304637,0.106483274420354,29,2,"tricube",1,7,7,500,2,2,2,1,Inf,NA,-Inf,Inf,NA,-Inf,0,46352193.6856337,"ok",216.604
"bp7x_0031__LA_D1_HC_Lc_N500__local_auto__lps__monomial_tiny_ridge","FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",500,3,"lps","local.auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,500,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,Inf,NA,15.174
"bp7x_0032__LA_D1_HC_Lc_N500__local_auto__lps__weighted_qr_drop_tiny","FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",500,3,"lps","local.auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,500,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,14.953
"bp7x_0033__LA_D1_HC_Lc_N500__local_auto__lps__orthogonal_drop_adaptive_tiny","FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",500,3,"lps","local.auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"ok",0.056925577066139,0.0794638992489923,0.297876734235029,35,2,"tricube",NA,21,21,500,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,14.506
"bp7x_0034__LA_D1_HC_Lc_N500__local_auto__ps_lps__monomial_tiny_ridge","FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",500,3,"ps_lps","local.auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube","guarded","ok",0.024711690145121,0.0987599314000356,0.104602350870816,21,2,"tricube",30,7,8,500,1,2,3,3,Inf,NA,-Inf,Inf,NA,-Inf,1e-08,NA,"unguarded",78.014
"bp7x_0035__LA_D1_HC_Lc_N500__local_auto__ps_lps__weighted_qr_drop_tiny","FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",500,3,"ps_lps","local.auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.0258557623410034,0.0983246640197896,0.104647459384218,21,2,"tricube",30,7,8,500,1,2,3,3,Inf,NA,-Inf,Inf,NA,-Inf,1e-10,26750282871.9712,"ok",845.078
"bp7x_0036__LA_D1_HC_Lc_N500__local_auto__ps_lps__orthogonal_drop_adaptive_tiny","FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",500,3,"ps_lps","local.auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.0263213123542731,0.0977818399932341,0.104739274468449,21,2,"tricube",30,8,8,500,1,2,3,3,Inf,NA,-Inf,Inf,NA,-Inf,0,1787146769.50826,"ok",268.297
"bp7x_0037__LA_D1_HC_Gv_N500__auto__lps__monomial_tiny_ridge","FB04","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube",500,3,"lps","auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,Inf,NA,5.305
"bp7x_0038__LA_D1_HC_Gv_N500__auto__lps__weighted_qr_drop_tiny","FB04","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube",500,3,"lps","auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,5.2
"bp7x_0039__LA_D1_HC_Gv_N500__auto__lps__orthogonal_drop_adaptive_tiny","FB04","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube",500,3,"lps","auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"ok",0.0500535065245154,0.0934258897710663,0.130671860863015,35,2,"tricube",NA,21,21,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,5.315
"bp7x_0040__LA_D1_HC_Gv_N500__auto__ps_lps__monomial_tiny_ridge","FB04","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube",500,3,"ps_lps","auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube","guarded","ok",0.0278587172842025,0.0975008417205034,0.104907356135028,15,2,"tricube",10,6,7,500,2,2,2,1,Inf,NA,-Inf,Inf,NA,-Inf,1e-08,NA,"unguarded",51.969
"bp7x_0041__LA_D1_HC_Gv_N500__auto__ps_lps__weighted_qr_drop_tiny","FB04","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube",500,3,"ps_lps","auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.0303303779062424,0.0979297910796209,0.106827912616915,15,2,"tricube",30,7,8,500,2,2,2,1,Inf,NA,-Inf,Inf,NA,-Inf,1e-10,31252188540.1078,"ok",476.176
"bp7x_0042__LA_D1_HC_Gv_N500__auto__ps_lps__orthogonal_drop_adaptive_tiny","FB04","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube",500,3,"ps_lps","auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.037600166833424,0.0983374170429592,0.111297778704897,29,2,"tricube",10,7,7,500,2,2,2,1,Inf,NA,-Inf,Inf,NA,-Inf,0,585390443.380242,"ok",151.423
"bp7x_0043__LA_D1_HC_Gv_N500__local_auto__lps__monomial_tiny_ridge","FB04","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube",500,3,"lps","local.auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,500,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,Inf,NA,15.496
"bp7x_0044__LA_D1_HC_Gv_N500__local_auto__lps__weighted_qr_drop_tiny","FB04","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube",500,3,"lps","local.auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,500,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,16.495
"bp7x_0045__LA_D1_HC_Gv_N500__local_auto__lps__orthogonal_drop_adaptive_tiny","FB04","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube",500,3,"lps","local.auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"ok",0.0484045055148002,0.086254967914427,0.158526316525889,35,2,"tricube",NA,21,21,500,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,15.687
"bp7x_0046__LA_D1_HC_Gv_N500__local_auto__ps_lps__monomial_tiny_ridge","FB04","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube",500,3,"ps_lps","local.auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube","guarded","ok",0.0287306995716227,0.0964181162290233,0.103911870072884,31,2,"tricube",1,5,6,500,1,1,3,3,Inf,NA,-Inf,Inf,NA,-Inf,1e-08,NA,"unguarded",61.045
"bp7x_0047__LA_D1_HC_Gv_N500__local_auto__ps_lps__weighted_qr_drop_tiny","FB04","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube",500,3,"ps_lps","local.auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.0306681008277381,0.0955555675803102,0.104443662640117,31,2,"tricube",1,5,6,500,1,1,3,3,Inf,NA,-Inf,Inf,NA,-Inf,1e-10,22856040426.0854,"ok",438.773
"bp7x_0048__LA_D1_HC_Gv_N500__local_auto__ps_lps__orthogonal_drop_adaptive_tiny","FB04","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube",500,3,"ps_lps","local.auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.0338767632097577,0.0943996722441753,0.106870443668043,35,2,"tricube",1,6,6,500,1,1,3,3,Inf,NA,-Inf,Inf,NA,-Inf,0,172584.118081938,"ok",146.365
"bp7x_0049__LA_D1_HC_Bv_N500__auto__lps__monomial_tiny_ridge","FB05","LA-D1-HC-Bv-N500","VALENCIA depth-1 hypercube",500,3,"lps","auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,Inf,NA,6.042
"bp7x_0050__LA_D1_HC_Bv_N500__auto__lps__weighted_qr_drop_tiny","FB05","LA-D1-HC-Bv-N500","VALENCIA depth-1 hypercube",500,3,"lps","auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,6.296
"bp7x_0051__LA_D1_HC_Bv_N500__auto__lps__orthogonal_drop_adaptive_tiny","FB05","LA-D1-HC-Bv-N500","VALENCIA depth-1 hypercube",500,3,"lps","auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"ok",0.0654931221116002,0.0723546222371147,10.9638359616037,20,2,"tricube",NA,21,21,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,7.053
"bp7x_0052__LA_D1_HC_Bv_N500__auto__ps_lps__monomial_tiny_ridge","FB05","LA-D1-HC-Bv-N500","VALENCIA depth-1 hypercube",500,3,"ps_lps","auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube","guarded","ok",0.0260814661470651,0.0969766943308587,0.103946468081168,17,2,"tricube",90,7,8,500,2,2,2,1,Inf,NA,-Inf,Inf,NA,-Inf,1e-08,NA,"unguarded",73.503
"bp7x_0053__LA_D1_HC_Bv_N500__auto__ps_lps__weighted_qr_drop_tiny","FB05","LA-D1-HC-Bv-N500","VALENCIA depth-1 hypercube",500,3,"ps_lps","auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.029160629827258,0.0957682425303783,0.103123285649221,16,2,"tricube",90,7,8,500,2,2,2,1,Inf,NA,-Inf,Inf,NA,-Inf,1e-10,27882144561.3931,"ok",886.242
