"task_id","batch_id","dataset_id","geometry_family","n","p","method","chart_dim_rule","backend_variant","design_basis","design_drop_tol","ridge_multiplier_grid","ridge_condition_max","support_grid","degree_grid","kernel_grid","lambda_sync_search","status","truth_rmse","observed_rmse","selected_cv_rmse_observed","selected_support_size","selected_degree","selected_kernel","selected_lambda_sync","finite_cv_candidates","total_cv_candidates","chart_dim_n","chart_dim_min","chart_dim_median","chart_dim_max","chart_dim_unique","frame_cols_min","frame_cols_median","frame_cols_max","frame_kept_min","frame_kept_median","frame_kept_max","ridge_multiplier_selected","ridge_condition","ridge_status","elapsed_sec"
"bp7x_0054__LA_D1_HC_Bv_N500__auto__ps_lps__orthogonal_drop_adaptive_tiny","FB05","LA-D1-HC-Bv-N500","VALENCIA depth-1 hypercube",500,3,"ps_lps","auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.026559521582333,0.0968169390495631,0.104234518323579,22,2,"tricube",90,8,8,500,2,2,2,1,Inf,NA,-Inf,Inf,NA,-Inf,0,112040680354.779,"ok",317.058
"bp7x_0055__LA_D1_HC_Bv_N500__local_auto__lps__monomial_tiny_ridge","FB05","LA-D1-HC-Bv-N500","VALENCIA depth-1 hypercube",500,3,"lps","local.auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,500,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,Inf,NA,17.048
"bp7x_0056__LA_D1_HC_Bv_N500__local_auto__lps__weighted_qr_drop_tiny","FB05","LA-D1-HC-Bv-N500","VALENCIA depth-1 hypercube",500,3,"lps","local.auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,500,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,16.657
"bp7x_0057__LA_D1_HC_Bv_N500__local_auto__lps__orthogonal_drop_adaptive_tiny","FB05","LA-D1-HC-Bv-N500","VALENCIA depth-1 hypercube",500,3,"lps","local.auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"ok",0.0531890012507598,0.081863671409926,8.78356589561306,35,2,"tricube",NA,21,21,500,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,16.591
"bp7x_0058__LA_D1_HC_Bv_N500__local_auto__ps_lps__monomial_tiny_ridge","FB05","LA-D1-HC-Bv-N500","VALENCIA depth-1 hypercube",500,3,"ps_lps","local.auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube","guarded","ok",0.0272687836792304,0.097295187313015,0.105280807508946,15,2,"tricube",90,7,8,500,1,2,3,3,Inf,NA,-Inf,Inf,NA,-Inf,1e-08,NA,"unguarded",77.227
"bp7x_0059__LA_D1_HC_Bv_N500__local_auto__ps_lps__weighted_qr_drop_tiny","FB05","LA-D1-HC-Bv-N500","VALENCIA depth-1 hypercube",500,3,"ps_lps","local.auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.0276820178573531,0.097422550336148,0.105686253678495,17,2,"tricube",90,7,8,500,1,2,3,3,Inf,NA,-Inf,Inf,NA,-Inf,1e-10,28820797228.0461,"ok",684.146
"bp7x_0060__LA_D1_HC_Bv_N500__local_auto__ps_lps__orthogonal_drop_adaptive_tiny","FB05","LA-D1-HC-Bv-N500","VALENCIA depth-1 hypercube",500,3,"ps_lps","local.auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.027158358386481,0.0970613814011322,0.105799119308246,24,2,"tricube",30,8,8,500,1,2,3,3,Inf,NA,-Inf,Inf,NA,-Inf,0,22933452102.1723,"ok",245.604
"bp7x_0061__LA_D2_RAW_N500__auto__lps__monomial_tiny_ridge","FB06","LA-D2-RAW-N500","VALENCIA depth2 dCST",500,43,"lps","auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,3.5059618443398,28,2,"tricube",NA,2,21,1,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,Inf,NA,22.73
"bp7x_0062__LA_D2_RAW_N500__auto__lps__weighted_qr_drop_tiny","FB06","LA-D2-RAW-N500","VALENCIA depth2 dCST",500,43,"lps","auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,1,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,23.698
"bp7x_0063__LA_D2_RAW_N500__auto__lps__orthogonal_drop_adaptive_tiny","FB06","LA-D2-RAW-N500","VALENCIA depth2 dCST",500,43,"lps","auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"ok",0.0916134697768922,0.0359545839602128,62.6756588476877,30,2,"tricube",NA,21,21,1,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,24.598
"bp7x_0064__LA_D2_RAW_N500__auto__ps_lps__monomial_tiny_ridge","FB06","LA-D2-RAW-N500","VALENCIA depth2 dCST",500,43,"ps_lps","auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube","guarded","ok",0.0315544440051374,0.0939123851552393,0.113887833607556,34,2,"tricube",10,7,8,500,5,5,5,1,Inf,NA,-Inf,Inf,NA,-Inf,1e-08,NA,"unguarded",527.622
"bp7x_0065__LA_D2_RAW_N500__auto__ps_lps__weighted_qr_drop_tiny","FB06","LA-D2-RAW-N500","VALENCIA depth2 dCST",500,43,"ps_lps","auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.0329832939617421,0.093737931959077,0.11848328902179,35,2,"tricube",90,7,8,500,5,5,5,1,Inf,NA,-Inf,Inf,NA,-Inf,1e-10,86131145516.5188,"ok",16395.735
"bp7x_0066__LA_D2_RAW_N500__auto__ps_lps__orthogonal_drop_adaptive_tiny","FB06","LA-D2-RAW-N500","VALENCIA depth2 dCST",500,43,"ps_lps","auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.048524818903027,0.0809302918399055,0.134756323773604,30,2,"tricube",10,8,8,500,4,4,4,1,Inf,NA,-Inf,Inf,NA,-Inf,0,2994138660.68155,"ok",12010.693
"bp7x_0067__LA_D2_RAW_N500__local_auto__lps__monomial_tiny_ridge","FB06","LA-D2-RAW-N500","VALENCIA depth2 dCST",500,43,"lps","local.auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,500,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,Inf,NA,41.024
"bp7x_0068__LA_D2_RAW_N500__local_auto__lps__weighted_qr_drop_tiny","FB06","LA-D2-RAW-N500","VALENCIA depth2 dCST",500,43,"lps","local.auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,500,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,36.871
"bp7x_0069__LA_D2_RAW_N500__local_auto__lps__orthogonal_drop_adaptive_tiny","FB06","LA-D2-RAW-N500","VALENCIA depth2 dCST",500,43,"lps","local.auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"ok",0.0915903284284689,0.0370845022862142,9.5731452935875,25,2,"tricube",NA,21,21,500,1,4,5,5,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,37.285
"bp7x_0070__LA_D2_RAW_N500__local_auto__ps_lps__monomial_tiny_ridge","FB06","LA-D2-RAW-N500","VALENCIA depth2 dCST",500,43,"ps_lps","local.auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube","guarded","ok",0.072470018428252,0.0607724052594898,0.156429355524699,35,2,"tricube",0.000333333333333333,7,8,500,1,4,6,6,Inf,NA,-Inf,Inf,NA,-Inf,1e-08,NA,"unguarded",500.063
"bp7x_0071__LA_D2_RAW_N500__local_auto__ps_lps__weighted_qr_drop_tiny","FB06","LA-D2-RAW-N500","VALENCIA depth2 dCST",500,43,"ps_lps","local.auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.117815520295255,0.152349746189753,0.377088114389613,35,2,"tricube",90,7,8,500,1,4,6,6,Inf,NA,-Inf,Inf,NA,-Inf,1e-10,57723342267.2069,"ok",10965.417
"bp7x_0072__LA_D2_RAW_N500__local_auto__ps_lps__orthogonal_drop_adaptive_tiny","FB06","LA-D2-RAW-N500","VALENCIA depth2 dCST",500,43,"ps_lps","local.auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.0950944960130703,0.120554957961434,0.259138084199294,16,2,"tricube",90,7,8,500,1,4,4,4,Inf,NA,-Inf,Inf,NA,-Inf,0,448890963.025332,"ok",4961.832
"bp7x_0073__LA_D2_HC_TOP1_N500__auto__lps__monomial_tiny_ridge","FB07","LA-D2-HC-TOP1-N500","VALENCIA depth-2 hypercube",500,42,"lps","auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,1,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,Inf,NA,22.612
"bp7x_0074__LA_D2_HC_TOP1_N500__auto__lps__weighted_qr_drop_tiny","FB07","LA-D2-HC-TOP1-N500","VALENCIA depth-2 hypercube",500,42,"lps","auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,1,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,24.468
"bp7x_0075__LA_D2_HC_TOP1_N500__auto__lps__orthogonal_drop_adaptive_tiny","FB07","LA-D2-HC-TOP1-N500","VALENCIA depth-2 hypercube",500,42,"lps","auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"ok",0.0923696202319009,0.0454521226370399,95.1302787921494,27,2,"tricube",NA,21,21,1,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,23.866
"bp7x_0076__LA_D2_HC_TOP1_N500__auto__ps_lps__monomial_tiny_ridge","FB07","LA-D2-HC-TOP1-N500","VALENCIA depth-2 hypercube",500,42,"ps_lps","auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube","guarded","ok",0.12202367119214,0.151673692991717,0.184059148594033,35,2,"tricube",10,6,7,500,3,3,3,1,Inf,NA,-Inf,Inf,NA,-Inf,1e-08,NA,"unguarded",311.472
"bp7x_0077__LA_D2_HC_TOP1_N500__auto__ps_lps__weighted_qr_drop_tiny","FB07","LA-D2-HC-TOP1-N500","VALENCIA depth-2 hypercube",500,42,"ps_lps","auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.144586941107432,0.170011600742431,0.217173140546653,35,2,"tricube",90,7,8,500,3,3,3,1,Inf,NA,-Inf,Inf,NA,-Inf,1e-10,49132994061.4953,"ok",6490.712
"bp7x_0078__LA_D2_HC_TOP1_N500__auto__ps_lps__orthogonal_drop_adaptive_tiny","FB07","LA-D2-HC-TOP1-N500","VALENCIA depth-2 hypercube",500,42,"ps_lps","auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.0539478995143922,0.100769398053083,0.149468682388948,20,2,"tricube",90,7,8,500,3,3,3,1,Inf,NA,-Inf,Inf,NA,-Inf,0,4803508441.92786,"ok",2874.378
"bp7x_0079__LA_D2_HC_TOP1_N500__local_auto__lps__monomial_tiny_ridge","FB07","LA-D2-HC-TOP1-N500","VALENCIA depth-2 hypercube",500,42,"lps","local.auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,500,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,Inf,NA,39.886
"bp7x_0080__LA_D2_HC_TOP1_N500__local_auto__lps__weighted_qr_drop_tiny","FB07","LA-D2-HC-TOP1-N500","VALENCIA depth-2 hypercube",500,42,"lps","local.auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,500,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,42.761
"bp7x_0081__LA_D2_HC_TOP1_N500__local_auto__lps__orthogonal_drop_adaptive_tiny","FB07","LA-D2-HC-TOP1-N500","VALENCIA depth-2 hypercube",500,42,"lps","local.auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"ok",0.079724812492893,0.069775603383995,25.5131938732524,35,2,"tricube",NA,21,21,500,1,3,6,6,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,45.12
"bp7x_0082__LA_D2_HC_TOP1_N500__local_auto__ps_lps__monomial_tiny_ridge","FB07","LA-D2-HC-TOP1-N500","VALENCIA depth-2 hypercube",500,42,"ps_lps","local.auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube","guarded","ok",0.0643293494792821,0.113377268076879,0.127367161597418,33,2,"tricube",1,5,6,500,1,3,6,6,Inf,NA,-Inf,Inf,NA,-Inf,1e-08,NA,"unguarded",350.157
"bp7x_0083__LA_D2_HC_TOP1_N500__local_auto__ps_lps__weighted_qr_drop_tiny","FB07","LA-D2-HC-TOP1-N500","VALENCIA depth-2 hypercube",500,42,"ps_lps","local.auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.0879965222349475,0.129360041397847,0.141660347902002,33,2,"tricube",10,6,7,500,1,3,6,6,Inf,NA,-Inf,Inf,NA,-Inf,1e-10,44028869609.7752,"ok",6181.995
"bp7x_0084__LA_D2_HC_TOP1_N500__local_auto__ps_lps__orthogonal_drop_adaptive_tiny","FB07","LA-D2-HC-TOP1-N500","VALENCIA depth-2 hypercube",500,42,"ps_lps","local.auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.0985337937095151,0.135071519120431,0.182025648723644,15,2,"tricube",90,7,8,500,1,3,3,3,Inf,NA,-Inf,Inf,NA,-Inf,0,252019490.913408,"ok",1353.353
"bp7x_0085__LA_D3_RAW_N500__auto__lps__monomial_tiny_ridge","FB08","LA-D3-RAW-N500","VALENCIA depth3 dCST",500,77,"lps","auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,2.03693105042315,35,2,"tricube",NA,3,21,1,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,Inf,NA,29.612
"bp7x_0086__LA_D3_RAW_N500__auto__lps__weighted_qr_drop_tiny","FB08","LA-D3-RAW-N500","VALENCIA depth3 dCST",500,77,"lps","auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,1,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,30.126
"bp7x_0087__LA_D3_RAW_N500__auto__lps__orthogonal_drop_adaptive_tiny","FB08","LA-D3-RAW-N500","VALENCIA depth3 dCST",500,77,"lps","auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"ok",0.0993209692724825,0.0148738984457627,49.5895199710705,16,2,"tricube",NA,21,21,1,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,30.201
"bp7x_0088__LA_D3_RAW_N500__auto__ps_lps__monomial_tiny_ridge","FB08","LA-D3-RAW-N500","VALENCIA depth3 dCST",500,77,"ps_lps","auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube","guarded","ok",0.0333125972480612,0.0995718439384657,0.147974984917135,17,2,"tricube",90,7,8,500,4,4,4,1,Inf,NA,-Inf,Inf,NA,-Inf,1e-08,NA,"unguarded",438.367
"bp7x_0089__LA_D3_RAW_N500__auto__ps_lps__weighted_qr_drop_tiny","FB08","LA-D3-RAW-N500","VALENCIA depth3 dCST",500,77,"ps_lps","auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.028223493140445,0.0965334871111174,0.158162194490278,28,2,"tricube",90,7,8,500,4,4,4,1,Inf,NA,-Inf,Inf,NA,-Inf,1e-10,72761521244.0566,"ok",11928.01
"bp7x_0090__LA_D3_RAW_N500__auto__ps_lps__orthogonal_drop_adaptive_tiny","FB08","LA-D3-RAW-N500","VALENCIA depth3 dCST",500,77,"ps_lps","auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.04016500277872,0.0886801497596503,0.124892115980639,35,2,"tricube",30,8,8,500,4,4,4,1,Inf,NA,-Inf,Inf,NA,-Inf,0,2564081337.96683,"ok",8114.66
"bp7x_0091__LA_D3_RAW_N500__local_auto__lps__monomial_tiny_ridge","FB08","LA-D3-RAW-N500","VALENCIA depth3 dCST",500,77,"lps","local.auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,500,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,Inf,NA,47.71
"bp7x_0092__LA_D3_RAW_N500__local_auto__lps__weighted_qr_drop_tiny","FB08","LA-D3-RAW-N500","VALENCIA depth3 dCST",500,77,"lps","local.auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,500,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,47.943
"bp7x_0093__LA_D3_RAW_N500__local_auto__lps__orthogonal_drop_adaptive_tiny","FB08","LA-D3-RAW-N500","VALENCIA depth3 dCST",500,77,"lps","local.auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"ok",0.0862454532576217,0.0465314138254077,5.899456121089,33,2,"tricube",NA,21,21,500,1,4,6,6,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,49.711
"bp7x_0094__LA_D3_RAW_N500__local_auto__ps_lps__monomial_tiny_ridge","FB08","LA-D3-RAW-N500","VALENCIA depth3 dCST",500,77,"ps_lps","local.auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube","guarded","ok",0.0724075617313877,0.115591744479254,0.146051385756595,16,2,"tricube",30,7,8,500,1,4,4,4,Inf,NA,-Inf,Inf,NA,-Inf,1e-08,NA,"unguarded",520.722
"bp7x_0095__LA_D3_RAW_N500__local_auto__ps_lps__weighted_qr_drop_tiny","FB08","LA-D3-RAW-N500","VALENCIA depth3 dCST",500,77,"ps_lps","local.auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.0917604762871931,0.129642894653724,0.151285054046597,25,2,"tricube",30,7,8,500,1,4,5,5,Inf,NA,-Inf,Inf,NA,-Inf,1e-10,38704720558.6828,"ok",10512.189
"bp7x_0096__LA_D3_RAW_N500__local_auto__ps_lps__orthogonal_drop_adaptive_tiny","FB08","LA-D3-RAW-N500","VALENCIA depth3 dCST",500,77,"ps_lps","local.auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube","guarded","ok",0.0948251316130444,0.130269388411391,0.154413807199944,34,2,"tricube",30,7,8,500,1,4,6,6,Inf,NA,-Inf,Inf,NA,-Inf,0,6170011.81050971,"ok",5113.528
"bp7x_0097__LA_13K_SUB_N500__auto__lps__monomial_tiny_ridge","FB09","LA-13K-SUB-N500","VALENCIA full phylotype matrix",500,178,"lps","auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube",NA,"ok",0.0982276697817199,0.0154669298504283,4.26325904293667,35,2,"tricube",NA,21,21,1,6,6,6,1,NA,NA,NA,NA,NA,NA,NA,Inf,NA,65.346
"bp7x_0098__LA_13K_SUB_N500__auto__lps__weighted_qr_drop_tiny","FB09","LA-13K-SUB-N500","VALENCIA full phylotype matrix",500,178,"lps","auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,1,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,50.459
"bp7x_0099__LA_13K_SUB_N500__auto__lps__orthogonal_drop_adaptive_tiny","FB09","LA-13K-SUB-N500","VALENCIA full phylotype matrix",500,178,"lps","auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"ok",0.0977306915788414,0.0176346536625796,15.5018320926422,15,2,"tricube",NA,21,21,1,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,51.587
"bp7x_0100__LA_13K_SUB_N500__auto__ps_lps__monomial_tiny_ridge","FB09","LA-13K-SUB-N500","VALENCIA full phylotype matrix",500,178,"ps_lps","auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube","guarded","ok",0.034326533009444,0.0921867145824358,0.10962069553411,26,2,"tricube",90,7,8,500,5,5,5,1,Inf,NA,-Inf,Inf,NA,-Inf,1e-08,NA,"unguarded",1124.551
"bp7x_0103__LA_13K_SUB_N500__local_auto__lps__monomial_tiny_ridge","FB09","LA-13K-SUB-N500","VALENCIA full phylotype matrix",500,178,"lps","local.auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube",NA,"ok",0.0994781421443479,0.0135512070958074,4.25856046855118,16,2,"tricube",NA,21,21,500,1,4,4,4,NA,NA,NA,NA,NA,NA,NA,Inf,NA,76.928
"bp7x_0104__LA_13K_SUB_N500__local_auto__lps__weighted_qr_drop_tiny","FB09","LA-13K-SUB-N500","VALENCIA full phylotype matrix",500,178,"lps","local.auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"nonfinite_fit",NA,NA,NA,15,2,"tricube",NA,0,21,500,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,75.94
"bp7x_0105__LA_13K_SUB_N500__local_auto__lps__orthogonal_drop_adaptive_tiny","FB09","LA-13K-SUB-N500","VALENCIA full phylotype matrix",500,178,"lps","local.auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"ok",0.096881526683781,0.0210155265755507,10.6510317398279,15,2,"tricube",NA,21,21,500,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,76.119
"bp7x_0106__LA_13K_SUB_N500__local_auto__ps_lps__monomial_tiny_ridge","FB09","LA-13K-SUB-N500","VALENCIA full phylotype matrix",500,178,"ps_lps","local.auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube","guarded","ok",0.0457717214971214,0.0979969881353404,0.114863195163617,29,2,"tricube",30,7,8,500,1,6,6,6,Inf,NA,-Inf,Inf,NA,-Inf,1e-08,NA,"unguarded",1014.208
"bp7x_0109__SYN_PARA_LINE_N500__auto__lps__monomial_tiny_ridge","FB10","SYN-PARA-LINE-N500","synthetic stratified surface/curve",500,3,"lps","auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube",NA,"ok",0.0391860260860992,0.0900433098370774,0.11431119385679,35,2,"tricube",NA,21,21,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,Inf,NA,84.432
"bp7x_0110__SYN_PARA_LINE_N500__auto__lps__weighted_qr_drop_tiny","FB10","SYN-PARA-LINE-N500","synthetic stratified surface/curve",500,3,"lps","auto","weighted_qr_drop_tiny","weighted.qr.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"ok",0.0391860340470071,0.0900433085484217,0.114311206043383,35,2,"tricube",NA,21,21,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,12.042
"bp7x_0111__SYN_PARA_LINE_N500__auto__lps__orthogonal_drop_adaptive_tiny","FB10","SYN-PARA-LINE-N500","synthetic stratified surface/curve",500,3,"lps","auto","orthogonal_drop_adaptive_tiny","orthogonal.polynomial.drop",1e-08,"0;1e-10;1e-8",1e+12,"15:35","2","tricube",NA,"ok",0.0391860341192971,0.0900433085458466,0.114311205816467,35,2,"tricube",NA,21,21,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,1e+12,NA,10.919
"bp7x_0112__SYN_PARA_LINE_N500__auto__ps_lps__monomial_tiny_ridge","FB10","SYN-PARA-LINE-N500","synthetic stratified surface/curve",500,3,"ps_lps","auto","monomial_tiny_ridge","monomial",1e-08,"1e-8",Inf,"15:35","2","tricube","guarded","ok",0.0241503096099699,0.0982350316509802,0.104381936016614,30,2,"tricube",30,8,8,500,2,2,2,1,Inf,NA,-Inf,Inf,NA,-Inf,1e-08,NA,"unguarded",86.663
