"local.candidate.id","support.size","degree","kernel","chart.dim","chart.dim.mode","selected.lambda.sync","selected.lambda.ridge","selected.cv.rmse.observed","selected.total.local.gcv.ps","selected.sync.energy","selected.mean.sync.squared.disagreement","evaluated.lambda.count","unique.lambda.count","boundary.expansion.count","local.candidate.elapsed.sec","lambda.search.elapsed.sec","frame.prep.elapsed.sec","system.cache.elapsed.sec","fold.component.cache.elapsed.sec","final.solve.elapsed.sec","local.candidate.status","screening.cv.rmse.observed","screening.rank","screening.reason","task_id","pair_id","search_policy","chart_dim_rule","candidate_key"
1,15,2,"tricube",2,"global.auto",30,0,0.108642302225067,6.35290461364796,0.016994603305858,1.11028192883362e-06,8,8,2,2.66,1.912,0.0899999999999999,0.0130000000000003,0.354,0.107,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","15|2|tricube"
2,16,2,"tricube",2,"global.auto",30,0,0.108392434153055,5.78426307887992,0.0188640160605164,1.13905619190651e-06,8,8,2,2.42,1.786,0.107,0.016,0.281,0.0329999999999995,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","16|2|tricube"
3,17,2,"tricube",2,"global.auto",10,0,0.10869630310298,5.19652708418546,0.0508868023709713,2.86204612162287e-06,8,8,2,2.349,1.822,0.0860000000000003,0.00799999999999912,0.254,0.0259999999999998,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","17|2|tricube"
4,18,2,"tricube",2,"global.auto",10,0,0.108888212283363,4.88586264342751,0.0587446773277805,3.06040246850387e-06,8,8,2,2.703,2.046,0.088000000000001,0.00999999999999979,0.369,0.0379999999999985,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","18|2|tricube"
5,19,2,"tricube",2,"global.auto",10,0,0.108550851130342,4.63215932153351,0.0612818812070909,2.99643730139925e-06,8,8,2,2.639,2.039,0.0980000000000008,0.00799999999999912,0.31,0.0389999999999997,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","19|2|tricube"
6,20,2,"tricube",2,"global.auto",10,0,0.108400559091171,4.43745640168077,0.0625108747380238,2.87589477863001e-06,8,8,2,2.286,1.713,0.0899999999999999,0.0120000000000005,0.306000000000001,0.0309999999999988,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","20|2|tricube"
7,21,2,"tricube",2,"global.auto",10,0,0.108674955663651,4.44347139503613,0.0604872996551947,2.63202500350114e-06,8,8,2,2.372,1.809,0.0839999999999996,0.00900000000000034,0.308,0.0259999999999998,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","21|2|tricube"
8,22,2,"tricube",2,"global.auto",10,0,0.108028604596151,4.28162904323364,0.0623281293705963,2.57118968417991e-06,8,8,2,2.638,1.992,0.106999999999999,0.0130000000000017,0.340999999999998,0.032,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","22|2|tricube"
9,23,2,"tricube",2,"global.auto",10,0,0.107971867067477,4.14081948551497,0.0641995561948533,2.51760832390259e-06,8,8,2,2.646,1.791,0.109999999999999,0.0109999999999992,0.52,0.0460000000000029,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","23|2|tricube"
10,24,2,"tricube",2,"global.auto",10,0,0.108143254076692,4.00382575857349,0.0691782834431014,2.58653756509796e-06,8,8,2,2.41,1.744,0.102,0.0109999999999992,0.355,0.027000000000001,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","24|2|tricube"
11,25,2,"tricube",2,"global.auto",10,0,0.107529178361741,3.88463982006078,0.0732149498569502,2.61375847045985e-06,8,8,2,2.377,1.648,0.0910000000000011,0.00999999999999801,0.442,0.0289999999999999,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","25|2|tricube"
12,26,2,"tricube",2,"global.auto",10,0,0.107784262049489,3.77990371491187,0.081333116907393,2.7789368836397e-06,8,8,2,2.488,1.732,0.186999999999998,0.00900000000000034,0.369,0.0320000000000036,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","26|2|tricube"
13,27,2,"tricube",2,"global.auto",10,0,0.107663231762338,3.69415029338423,0.0888356190391869,2.9010864813849e-06,8,8,2,2.767,2.014,0.0989999999999966,0.00900000000000034,0.427,0.0339999999999989,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","27|2|tricube"
14,28,2,"tricube",2,"global.auto",10,0,0.108251300597676,3.60257972518455,0.0933825485428586,2.92739852337044e-06,8,8,2,2.81,1.925,0.109999999999999,0.0140000000000029,0.539999999999999,0.0289999999999964,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","28|2|tricube"
15,29,2,"tricube",2,"global.auto",1,0,0.108933840656077,3.28361739247353,0.841067037706828,2.53746166212838e-05,8,8,2,2.696,1.887,0.101000000000006,0.00900000000000034,0.480000000000004,0.0289999999999964,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","29|2|tricube"
16,30,2,"tricube",2,"global.auto",1,0,0.109032651563072,3.24962955419614,0.873577771458251,2.53766293179767e-05,8,8,2,2.746,1.811,0.144999999999996,0.027000000000001,0.518000000000001,0.0459999999999994,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","30|2|tricube"
17,31,2,"tricube",2,"global.auto",1,0,0.109045950607455,3.17791667421223,0.882961052357316,2.47199926276047e-05,8,8,2,2.819,1.925,0.097999999999999,0.00900000000000034,0.564,0.0309999999999988,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","31|2|tricube"
18,32,2,"tricube",2,"global.auto",1,0,0.109091933866162,3.15920925036663,0.904917236058148,2.44483023812944e-05,7,7,1,2.319,1.476,0.0920000000000059,0.0109999999999957,0.432000000000002,0.0330000000000013,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","32|2|tricube"
19,33,2,"tricube",2,"global.auto",1,0,0.109164718180012,3.12883141717528,0.920208637374325,2.40338654718309e-05,7,7,1,2.297,1.509,0.0940000000000012,0.0149999999999935,0.445,0.0500000000000043,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","33|2|tricube"
20,34,2,"tricube",2,"global.auto",1,0,0.109070307927521,3.0845281250313,0.921717977721844,2.32663060688504e-05,7,7,1,2.44900000000001,1.495,0.106000000000002,0.00900000000000034,0.506,0.034000000000006,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","34|2|tricube"
21,35,2,"tricube",2,"global.auto",1,0,0.109095377601776,3.04403515586431,0.928649261914837,2.26701640538013e-05,7,7,1,2.379,1.532,0.106999999999999,0.0109999999999957,0.497,0.0349999999999966,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","35|2|tricube"
1,15,2,"tricube",2,"global.auto",30,0,0.108642302225067,6.35290461364796,0.016994603305858,1.11028192883362e-06,8,8,2,2.528,1.929,0.0900000000000007,0.0190000000000001,0.268000000000001,0.0310000000000006,"evaluated",Inf,NA,"lps_selected+neighbor+guard","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","15|2|tricube"
2,16,2,"tricube",2,"global.auto",30,0,0.108392434153055,5.78426307887992,0.0188640160605164,1.13905619190651e-06,8,8,2,2.378,1.794,0.0980000000000008,0.0139999999999993,0.259,0.0589999999999993,"evaluated",Inf,NA,"neighbor","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","16|2|tricube"
3,17,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","17|2|tricube"
4,18,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","18|2|tricube"
5,19,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","19|2|tricube"
6,20,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","20|2|tricube"
7,21,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","21|2|tricube"
8,22,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","22|2|tricube"
9,23,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","23|2|tricube"
10,24,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","24|2|tricube"
11,25,2,"tricube",2,"global.auto",10,0,0.107529178361741,3.88463982006078,0.0732149498569502,2.61375847045985e-06,8,8,2,2.934,1.961,0.153,0.0150000000000006,0.583,0.0360000000000014,"evaluated",Inf,NA,"guard","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","25|2|tricube"
12,26,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","26|2|tricube"
13,27,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","27|2|tricube"
14,28,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","28|2|tricube"
15,29,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","29|2|tricube"
16,30,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","30|2|tricube"
17,31,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","31|2|tricube"
18,32,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","32|2|tricube"
19,33,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","33|2|tricube"
20,34,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","34|2|tricube"
21,35,2,"tricube",2,"global.auto",1,0,0.109095377601776,3.04403515586431,0.928649261914837,2.26701640538013e-05,7,7,1,2.859,1.724,0.108000000000001,0.00899999999999856,0.706000000000001,0.041999999999998,"evaluated",Inf,NA,"guard","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","35|2|tricube"
1,15,2,"tricube",2,"local.auto",30,0,0.104051431049377,9.51283281852171,0.0135791974361291,8.8714854063119e-07,8,8,2,3.386,2.452,0.0809999999999995,0.0149999999999988,0.319000000000001,0.036999999999999,"evaluated",Inf,NA,"lps_selected+neighbor+guard","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","15|2|tricube"
2,16,2,"tricube",2,"local.auto",90,0,0.104090246272745,120.88461210638,0.00516061157956916,3.11610558158725e-07,8,8,2,3.226,2.26,0.0980000000000025,0.0159999999999982,0.286999999999999,0.0489999999999995,"evaluated",Inf,NA,"neighbor","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","16|2|tricube"
3,17,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","17|2|tricube"
4,18,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","18|2|tricube"
5,19,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","19|2|tricube"
6,20,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","20|2|tricube"
7,21,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","21|2|tricube"
8,22,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","22|2|tricube"
9,23,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","23|2|tricube"
10,24,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","24|2|tricube"
11,25,2,"tricube",2,"local.auto",90,0,0.102220886874911,4.89011934745946,0.0100591676857917,3.59110192602533e-07,8,8,2,3.631,2.56,0.0969999999999978,0.00900000000000034,0.440999999999999,0.0460000000000029,"evaluated",Inf,NA,"guard","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","25|2|tricube"
12,26,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","26|2|tricube"
13,27,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","27|2|tricube"
14,28,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","28|2|tricube"
15,29,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","29|2|tricube"
16,30,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","30|2|tricube"
17,31,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","31|2|tricube"
18,32,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","32|2|tricube"
19,33,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","33|2|tricube"
20,34,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","34|2|tricube"
21,35,2,"tricube",2,"local.auto",10,0,0.102619212484756,2.96055866847514,0.122687837992911,2.99505263049523e-06,8,8,2,3.568,2.047,0.102,0.0129999999999981,0.787000000000003,0.0399999999999991,"evaluated",Inf,NA,"guard","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","35|2|tricube"
1,15,2,"tricube",2,"global.auto",90,0,0.109550521170312,7.1673835100156,0.00771864728990708,5.04270352581305e-07,8,8,2,2.432,1.758,0.0839999999999999,0.0130000000000003,0.298,0.113,"evaluated",NA,NA,"full_search","s3r_0005__LA_D1_RAW_N500__r02__auto__full","LA_D1_RAW_N500__r02__auto","full","auto","15|2|tricube"
2,16,2,"tricube",2,"global.auto",90,0,0.109340450933435,6.53093831328324,0.00940226779545458,5.67732306631768e-07,8,8,2,2.446,1.819,0.0979999999999999,0.0169999999999995,0.276000000000001,0.0270000000000001,"evaluated",NA,NA,"full_search","s3r_0005__LA_D1_RAW_N500__r02__auto__full","LA_D1_RAW_N500__r02__auto","full","auto","16|2|tricube"
3,17,2,"tricube",2,"global.auto",90,0,0.109249462475352,6.17375268066774,0.0109863246693284,6.17908110663253e-07,8,8,2,2.352,1.802,0.0979999999999999,0.0109999999999992,0.28,0.0250000000000004,"evaluated",NA,NA,"full_search","s3r_0005__LA_D1_RAW_N500__r02__auto__full","LA_D1_RAW_N500__r02__auto","full","auto","17|2|tricube"
